English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted,Duplicate?
harmless,B1,adjective,bezopasan,X,koji ne predstavlja opasnost,X,"Pas izgleda opasno, ali je zapravo bezopasan.","The dog looks dangerous, but it’s actually harmless.",,
"insensitive, heartless",B2,adjective,bezosjećajan,X,koji ne pokazuje osjećaje; hladan,X,Bio je potpuno bezosjećajan prema tuđoj boli.,He was completely insensitive to other people’s pain.,,
groundless,C,adjective,bezrazložan,X,koji nema opravdanja; bez temelja,X,Njegov bijes bio je bezrazložan i usmjeren na pogrešnu osobu.,His anger was groundless and directed at the wrong person.,,
"unconditional, wholehearted",C,adjective,bezrezervan,X,koji se daje bez ograničenja ili uvjeta,X,Pokazala je bezrezervnu podršku prijateljici u najtežem trenutku.,She showed unconditional support to her friend in the hardest moment.,,
"lunatic, madman, fool",C,masculine,bezumnik,X,osoba bez razuma; luđak,X,"U tragediji, bezumnik simbolizira granice ljudske spoznaje.","In tragedy, the madman symbolizes the limits of human understanding.",,
failure,B2,masculine,bezuspjeh,X,neuspjeh; izostanak uspjeha,X,Njihov trud završio je bezuspjehom.,Their effort ended in failure.,,
unconditional,B2,adjective,bezuvjetan,X,koji se daje bez uvjeta,X,Dobili su bezuvjetnu potporu od lokalne zajednice.,They received unconditional support from the local community.,,
"silly, lame, pointless",B1,adjective,bezvezan,X,koji je besmislen ili loš,X,Film je bio dosadan i potpuno bezvezan.,The movie was boring and completely pointless.,,
"faithless, unbelieving",C,adjective,bezvjeran,X,koji ne vjeruje; bez vjere,X,Bio je proglašen bezvjeran jer je javno odbacio sve dogme.,He was declared faithless because he publicly rejected all dogmas.,,
anarchy,C,neuter,bezvlašće,X,stanje bez vlasti; anarhija,X,Razdoblje bezvlašća dovelo je do potpunog kaosa u državi.,The period of anarchy led to complete chaos in the country.,,
waterless,B2,adjective,bezvodan,X,koji nema vode,X,Pustinja je bila potpuno bezvodna i nepristupačna.,The desert was completely waterless and inaccessible.,,
apathy,B2,feminine,bezvolja,X,stanje bez volje; nezainteresiranost,X,Dugo razdoblje bezvolje utjecalo je na njegov posao.,A long period of apathy affected his work.,,
timeless,C,adjective,bezvremen,X,koji nije ograničen vremenom,X,Njegova poezija odiše bezvremenom ljepotom i tišinom.,His poetry radiates timeless beauty and silence.,,
worthless,B2,adjective,bezvrijedan,X,koji nema vrijednosti,X,"Smatrali su taj predmet bezvrijednim, ali imao je sentimentalnu vrijednost.","They considered the object worthless, but it had sentimental value.",,
library,B1,feminine,biblioteka,X,mjesto gdje se posuđuju i čuvaju knjige,X,Biblioteka u gradu nudi veliki izbor knjiga i časopisa.,The library in the city offers a wide selection of books and magazines.,,
librarian,B1,masculine,bibliotekar,X,osoba koja radi u knjižnici,X,Bibliotekar brzo pronalazi knjigu koju tražim.,The librarian quickly finds the book I'm looking for.,,
librarianship,B2,neuter,bibliotekarstvo,X,stručno područje rada u knjižnici,X,Bibliotekarstvo zahtijeva preciznost i dobro poznavanje kataloga.,Librarianship requires precision and a good knowledge of the catalog.,,
"being, creature",B2,neuter,biće,X,"ono što postoji, živo stvorenje",X,Svako biće na Zemlji ima svoju jedinstvenu ulogu u ekosustavu.,Every being on Earth has its own unique role in the ecosystem.,,
"bike, bicycle",A1,masculine,bicikl,X,prijevozno sredstvo s dva kotača koje se pokreće snagom nogu,X,Imam novi bicikl.,I have a new bike.,,
escape,B1,masculine,bijeg,X,napuštanje mjesta ili situacije radi slobode,X,Njegov bijeg iz grada izazvao je veliku potragu.,His escape from the city has sparked a major search.,,
white,A1,adjective,bijel,X,koja ima boju snijega ili mlijeka,X,Snijeg je bijel i prekriva cestu.,The snow is white and covers the road.,,
bull,A2,masculine,bik,X,muška životinja krave,X,Bik stoji na pašnjaku kraj krava.,The bull stands on the pasture next to the cows.,,
"mark, marker, landmark",B2,masculine,biljeg,X,znak koji označuje pripadnost ili trag,X,Biljeg na rukopisu upućuje na autora kojem se djelo dugo pripisivalo.,The mark on the manuscript indicates the author to whom the work had long been attributed.,,
note,A2,feminine,bilješka,X,kratak pisani zapis,X,Napisao sam kratku bilješku u bilježnicu.,I wrote a short note in my notebook.,,
notebook,A1,feminine,bilježnica,X,sveska s praznim ili crtanim listovima za pisanje i bilježenje,X,U bilježnici pišem zadaću.,I am writing homework in the notebook.,,
plant,A2,feminine,biljka,X,"živo biće koje raste iz tla i ima listove, stabljiku i korijen",X,U sobi imam jednu zelenu biljku.,I have a green plant in the room.,,
"herbal, vegetable",B1,adjective,biljni,X,koji se odnosi na biljke ili potječe iz biljaka,X,Kupujem biljne čajeve u trgovini zdrave hrane.,I am buying herbal teas at the health food store.,,
anywhere,B1,expression,bilo gdje,X,na bilo kojem mjestu,X,Možeš raditi bilo gdje ako imaš internet.,You can work anywhere if you have the internet.,,
any,B1,expression,bilo koji,X,"bilo koji predmet, osoba ili pojava bez ograničenja izbora",X,Izaberi bilo koji film iz ponude.,Choose any movie from the selection.,,
anything,A2,expression,bilo što,X,bilo koja stvar; sve što postoji,X,Možeš mi reći bilo što i ja ću ti vjerovati.,You can tell me anything and I will believe you.,,
"anyone, anybody",B1,expression,bilo tko,X,"bilo koja osoba, bez obzira na identitet",X,Bilo tko može sudjelovati u raspravi.,Anyone can take part in the discussion.,,
biologist,B2,masculine,biolog,X,znanstvenik koji proučava živa bića,X,Biolog istražuje životinje u šumi.,The biologist researches animals in the forest.,,
biology,B2,feminine,biologija,X,znanost o životu i živim organizmima,X,Biologija je znanost o živim bićima.,Biology is the science of living beings.,,
biological,B2,adjective,biološki,X,koji se odnosi na žive organizme i prirodne procese,X,Postoje biološki procesi koje još ne razumijemo.,There are biological processes we still do not understand.,,
voter,B1,masculine,birač,X,osoba koja daje glas na izborima,X,Svaki birač ima pravo glasati samo jednom.,Each voter is only allowed to vote once.,,
"pick, choose",A2,verb,birati,X,odlučiti između više mogućnosti,X,Volim birati svježe voće na tržnici.,I like picking fresh fruit at the market.,,
bisexual,B2,adjective,biseksualac,X,osoba koju privlače i muškarci i žene,X,On se otvoreno izjasnio kao biseksualac unatoč predrasudama.,He openly declared himself bisexual despite prejudice.,,
bishop,B1,masculine,biskup,X,visoki crkveni poglavar u katoličkoj hijerarhiji,X,Biskup je održao govor u katedrali pred mnoštvom vjernika.,The bishop gave a speech in the cathedral before a crowd of believers.,,
"clear, bright",A2,adjective,bistar,X,koji ima jasan i brz um; koji je proziran,X,More je danas bistro i vidi se dno.,The sea is clear today and the bottom can be seen.,,
"important, essential, inherent, vital",A2,adjective,bitan,X,koji ima veliku važnost ili značenje,X,Ovaj zadatak je jako bitan za mene.,This task is very important to me.,,
be,A1,verb,biti,X,osnovni glagol koji označava postojanje ili stanje,X,On može biti moj učitelj.,He can be my teacher.,,
battle,B1,feminine,bitka,X,sukob između suprotstavljenih strana,X,Bitka je trajala nekoliko dana.,The battle lasted for several days.,,
"be, happen",B2,verb,bivati,X,nalaziti se u određenom stanju; događati se,X,Takvi slučajevi znaju bivati teži nego što izgledaju.,Such cases can be more difficult than they seem.,,
businessman,B1,masculine,biznismen,X,muškarac koji vodi poslovne aktivnosti,X,Iskusni biznismen vodi pregovore s partnerima iz inozemstva.,An experienced businessman is negotiating with foreign partners.,,
fugitive,B2,masculine,bjegunac,X,osoba koja bježi od zakona ili progona,X,Bjegunac je prešao granicu prije dolaska policije.,The fugitive crossed the border before the police arrived.,,
egg white,B1,neuter,bjelance,X,prozirni dio jajeta koji okružuje žumanjak,X,Za kolač treba odvojiti bjelance od žumanjka.,For the cake you need to separate the egg white from the yolk.,,
protein,B1,feminine,bjelančevina,X,"hranljiva tvar potrebna za izgradnju tijela, sastavljena od aminokiselina",X,Meso i jaja sadrže mnogo bjelančevina.,Meat and eggs contain a lot of protein.,,
"run away, escape",A2,verb,bježati,X,udaljiti se brzo od opasnosti ili neugodne situacije,X,Djeca su počela bježati kad je počela kiša.,The children started running away when the rain began.,,
"mild, gentle",B1,adjective,blag,X,"koji je nježan, blag ili umjeren",X,Ima blag karakter i rijetko se ljuti.,He has a gentle character and rarely gets angry.,,
cash register,A2,feminine,blagajna,X,uređaj za naplatu u trgovini,X,Blagajna se nalazi odmah kod ulaza.,The cash register is right by the entrance.,,
cashier,B1,masculine,blagajnik,X,osoba koja upravlja blagajnom,X,Blagajnik je brzo izdao račun i vratio ostatak.,The cashier quickly issued a bill and returned the change.,,
"holiday, feast day",B1,masculine,blagdan,X,dan kada se ne radi zbog vjerskog ili državnog slavlja,X,Za svaki blagdan moja obitelj priprema jelo koje se kuha samo taj dan.,"For every holiday, my family prepares a dish that is only cooked that day.",,
"lucky you, good for you",B2,interjection,blago,X,izraz kojim se izražava zavist ili divljenje zbog nečijeg položaja ili sreće,X,Blago tebi kad možeš putovati kad god poželiš!,"Lucky you, when you can travel whenever you want!",,
"midly, gently",B1,adverb,blago,X,na blag način; nježno ili umjereno,X,Vjetar je blago puhao kroz otvoreni prozor.,The wind was gently blowing through the open window.,,
treasure,A2,neuter,blago,X,"vrijedna stvar, bogatstvo ili dragocjenost",X,U muzeju čuvaju staro crkveno blago.,They keep old church treasure in the museum.,,
blessing,B1,masculine,blagoslov,X,Božji dar; nešto što donosi dobro,X,Primili su vijest kao pravi blagoslov nakon dugog čekanja.,They received the news as a real blessing after a long wait.,,
bless,B2,verb,blagosloviti,X,izreći ili dati Božju naklonost,X,Svećenik je blagoslovio novu kuću prema starom običaju.,The priest blessed the new house according to the old custom.,,
welfare,B2,neuter,blagostanje,X,stanje materijalne i društvene sigurnosti u kojem ljudi dobro žive,X,Vlada ulaže napore kako bi osigurala blagostanje građana.,The government is making efforts to ensure citizens’ welfare.,,
dining room,A2,feminine,blagovaonica,X,prostorija u kojoj se jede u kući ili ustanovi,X,Blagovaonica u našem stanu služi i kao radna soba.,The dining room in our apartment also serves as a study.,,
mud,A2,neuter,blato,X,mješavina zemlje i vode,X,Na cesti ima puno blata poslije kiše.,There is a lot of mud on the road after the rain.,,
"shine, sparkle, glitter",B1,verb,blistati,X,sjajiti intenzivno,X,Zvijezde su počele blistati čim je pao mrak.,The stars began to shine as soon as darkness fell.,,
"shiny, sparkling, radiant",B1,adjective,blistav,X,koji jako sjaji,X,Nosio je blistav sat koji se vidio iz daljine.,He wore a shiny watch that could be seen from a distance.,,
twin,A2,masculine,blizanac,X,jedan od dvoje djece rođenih u isto vrijeme,X,Moj brat je blizanac i izgledamo slično.,My brother is a twin and we look alike.,,
"close, near",A1,adjective,blizu,X,koji se nalazi na maloj udaljenosti,X,Moj stan je blizu škole.,My apartment is near the school.,,
blog,A2,masculine,blog,X,internetski dnevnik,X,Pišem blog o učenju jezika.,I write a blog about learning a language.,,
fornicator,C,masculine,bludnik,X,osoba sklona bludu,X,Bludnik se u tekstu opisuje kao simbol moralne dezorijentacije zajednice.,The fornicator is described in the text as a symbol of the moral disorientation of the community.,,
berry,A2,feminine,bobica,X,mali sočni plod okruglog oblika,X,Na kolaču su bile crvene bobice.,There were red berries on the cake.,,
bottle,A1,feminine,boca,X,posuda za pohranu tekućina s uskim grlom,X,Na stolu je plava boca.,There is a blue bottle on the table.,,
point,A2,masculine,bod,X,mjerna jedinica vrijednosti ili rezultata,X,Dobio sam još jedan bod na testu.,I got another point on the test.,,
god,A2,masculine,bog,X,vrhovno biće u koje vjeruju vjernici,X,Ljudi mole Boga u crkvi.,People pray to God in the church.,,
rich,A2,adjective,bogat,X,onaj koji ima mnogo novca ili dobara,X,On je vrlo bogat i ima veliku kuću.,He is very rich and has a big house.,,
"color, colour, paint",A1,feminine,boja,X,"svojstvo predmeta koje se vidi kao crveno, plavo, zeleno i slično",X,Moja omiljena boja je plava.,My favorite color is blue.,,
"be scared, be afraid",A2,expression,bojati se,X,osjećati strah; imati bojazan od nečega,X,Mali dječak se boji mraka.,The little boy is afraid of the dark.,,
major,B2,masculine,bojnik,X,časnik srednjeg ranga u vojsci,X,Bojnik je preuzeo zapovjedništvo nad operacijom nakon hitne smjene.,The major took command of the operation after an emergency shift.,,
hi,A1,interjection,bok,X,pozdravna riječ pri susretu ili rastanku,X,"Bok, kako si?","Hi, how are you?",,
boxing,B1,masculine,boks,X,borilački sport rukama,X,Na treningu boks vježbamo tehniku obrane.,"At boxing training, we practice defense techniques.",,
pain,A2,feminine,bol,X,neugodan osjećaj u tijelu,X,Osjećam veliku bol u ruci.,I feel great pain in my hand.,,
patient,B1,masculine,bolesnik,X,osoba koja boluje od neke bolesti,X,Bolesnik čeka pregled u bolnici već sat vremena.,The patient has been waiting for an examination in the hospital for an hour.,,
"disease, sickness, illness",A2,feminine,bolest,X,stanje kada je tijelo ili duh bolestan,X,On je kod kuće zbog teške bolesti.,He is at home because of a serious illness.,,
"sick, ill",A1,adjective,bolestan,X,koji je pogođen bolešću ili se ne osjeća zdravo,X,On je bolestan danas.,He is sick today.,,
better,A2,adverb,bolje,X,na bolji način,X,Osjećam se bolje nego jučer.,I feel better than yesterday.,,
